Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date,,
DoH_PD,52 Charlotte Street,BSQ Website Redevelopment,14/03/2022,"33,000.00",Folk Pty Ltd,5 Albion Street Annandale NSW 2038,No,No,,,,,,,,,4302026958,General Goods and Services,,,14/03/2022,87073263457,30/06/2022,,
DoH_PD,33 Charlotte Street,Smoking Cessation Clinical training,16/03/2022,"39,050.00",Youwillconsume Pty Ltd,"L 1/149 Wickham Terrace, Spring Hill Qld  4000",No,No,,,,,,,,,4302033191,General Goods and Services,,,16/03/2022,31117521552,30/06/2022,,
DoH_PD,33 Charlotte Street,Scoping Project - Walkability,25/03/2022,"37,356.00",Bull & Bear Economics Pty Ltd,"17 /174 BARRY PDE, FORTITUDE VALLEY   QLD   4006",No,No,,,,,,,,,4302054542,General Goods and Services,,,25/03/2022,54649852586,30/06/2022,,
DoH_PD,33 Charlotte Street,Design Software applications,4/04/2022,"27,500.00",Csiro,"1 TECHNOLOGY CT, PULLENVALE  QLD  4069",No,No,,,,,,,,,4302072163,General Goods and Services,,,4/04/2022,41687119230,30/06/2022,,
DoH_PD,33 Charlotte Street,Multi -Sectoral collaborative network,4/04/2022,"11,000.00",The University Of Queensland,"The University Of Queensland, St Lucia  Qld  4072",No,No,,,,,,,,,4302072166,General Goods and Services,,,4/04/2022,63942912684,30/06/2022,,
DoH_PD,33 Charlotte Street,2021/22 VMO BreastScreening,12/04/2022,"11,786.48",Natalie Lawrence Radiology Pty Ltd,,No,No,,,,,,,,,4302090599,General Goods and Services,,,12/04/2022,61656478849,30/06/2022,,
DoH_PD,33 Charlotte Street,Support & Maintenance SPR Dashboard,20/04/2022,"17,600.00",Aginic Holdings Pty Ltd,"L1/135 WICKHAM TCE, SPRING HILL  QLD  4006",No,No,,,,,,,,,4302104385,General Goods and Services,,,20/04/2022,89618003419,28/10/2022,,
DoH_PD,33 Charlotte Street,Smoking Reduction Reform,16/05/2022,"98,218.00",Allen+Clarke Consulting,"L17/600 Bourke Street, Melbourne Vic  3000",No,No,,,,,,,,,4302156740,General Goods and Services,,,16/05/2022,26984786813,31/07/2022,,
DoH_PD,33 Charlotte Street,Funding 1 yr Prevention Centre,17/05/2022,"220,000.00",The Sax Institute,"L13/235 JONES ST, ULTIMO  NSW  2007",No,No,,,,,,,,,4302157957,General Goods and Services,,,17/05/2022,68095542886,30/06/2023,,
DoH_PD,33 Charlotte Street,Prevention Research Project,22/05/2022,"154,000.00",Queensland University Of Technology,"5/88 MUSK AVE, KELVIN GROVE  QLD  4059",No,No,,,,,,,,,PD116185,General Goods and Services,,,22/05/2022,83791724622,21/11/2025,,
