Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value ($)
(incl GST)",Supplier Name,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,Qlik Geoanalytics Enterprise ,12/03/2020,12456.40,Aginic Holdings,Level 1 Firhall 1354 Wickham Tce Spring Hill Qld 4000,No,No,Limited,,,,,,,,,,30/03/2020,31/03/2021,89618003419
DoH_PD,33 Charlotte Street,PACS Minor Equipment ,27/03/2020,74365.39,INMED Healthcare,"45 Prime Drive, Seven Hills NSW 2147",No,No,Select,,,,,,,,,,27/03/2020,30/06/2020,42612824969
DoH_PD,33 Charlotte Street,FoodChecker Lic. DoH& HHSs,8/11/2019,35970.00,Nutrition Australia (NA Vic) ,118 Cardigan St Carlton 3053,No,No,Limited,,,,,,,,,,1/10/2019,31/12/2020,29767398718
DoH_PD,33 Charlotte Street,iFed Database Access for FoodChecker ,24/10/2019,53927.00,SP Health,"Level 1, 65 Walker Street, North Sydney, NSW 2060",No,No,Limited,,,,,,,,,,1/10/2019,31/12/2020,73123248046
DoH_PD,33 Charlotte Street,BSQR Match Software Support 19-20 ,12/11/2019,90613.00,Pitney Bowes,"Level 1, 68 Waterloo Road,Macquarie Park, Park 2113, Australia",Yes,No,Limited,,,,,,,,,,12/09/2019,11/11/2020,82001475921
DoH_PD,33 Charlotte Street,BSPHN CS Increase Participation Rates ,22/11/2019,82500.00,Brisbane South PHN,"First Floor Building 20, Garden City Office Park, 2404 Logan Road, Eight Miles  Plains, Qld 4113",No,No,Select,,,,,,,,,,1/01/2020,31/03/2021,53151707765
DoH_PD,33 Charlotte Street,BNPHN CS Increase Participation Rates,22/11/2019,82500.00,Brisbane North PHN,"Level 1 Chalk St, Lutwyche Q4030",No,No,Select,,,,,,,,,,1/01/2020,31/03/2021,55150102257
DoH_PD,33 Charlotte Street,DDWMPHN CS Increase Participation Rates,22/11/2019,82500.00,Darling Downs West Moreton PHN,"Level 1/162 Hume St, Toowoomba, QLD 4350",No,No,Select,,,,,,,,,,1/01/2020,31/03/2021,51605975602
DoH_PD,33 Charlotte Street,GCPHN CS Increase Participation Rates ,22/11/2019,82500.00,Gold Coast PHN,Level 1. 14 Edgewater Court Robina Qld 4226,No,No,Select,,,,,,,,,,1/01/2020,31/03/2021,47152953092
DoH_PD,33 Charlotte Street,NQPHN CS Increase Participation Rates ,22/11/2019,82500.00,North Queensland PHN,"Suite 3, level 1, Post Office Square, 66-69 Sydney St, Mackay Qld 4740",No,No,Select,,,,,,,,,,1/01/2020,31/03/2021,35605757640
DoH_PD,33 Charlotte Street,Cancer Screening interactive videos ,4/12/2019,110000.00,Healthily Pty Ltd,"Suite 2, Level 5,492 St Kild Road, Melbourne VIC 3002",No,No,Select,,,,,,,,,,2/03/2020,30/06/2021,78613342635
DoH_PD,33 Charlotte Street,Womens Health (Cervical) Review Rural Qld ,4/12/2019,33000.00,Enable Health Strategies,123 Swan St Gordon Park Q 4031,No,No,Select,,,,,,,,,,4/12/2020,30/06/2020,46630429015
DoH_PD,33 Charlotte Street,50 x Smokilisers for Quitline referals ,3/02/2020,42361.00,Niche Medical,PO Box 2526 Malaga WA 6944,No,No,Limited,,,,,,,,,,1/02/2020,30/06/2020,66329169412
DoH_PD,33 Charlotte Street,Procurement Contract Negotiation Services ,5/05/2020,19904.50,QProcurement Pty Ltd,Level 7 320 Adelaide Street Brisbane 4000,No,No,Limited,,,,,,,,,,1/06/2020,30/06/2020,89154456630
DoH_PD,33 Charlotte Street,FOEX Plugin Framework - Developer License & Editor ,24/06/2020,173002.50,Apexia,51 Jabiru Drive Cobaki Lakes NSW 2486,No,No,Limited,,,,,,,,,,1/06/2020,30/06/2020,66329169412
DoH_PD,33 Charlotte Street,Interactive Whiteboards ,19/06/2020,13785.20,Dell,Unit 3 14 Aquatic Drive Frenchs Forest NSW 2086,No,No,Select,,,,,,,,,,1/06/2020,30/06/2020,46003855561
DoH_PD,33 Charlotte Street,BSQ Q10 Online Experience Upgrade,18/06/2020,15374.70,Dialog Information Technology,Level 7 35 Boundary Street South Brisbane Qld 4101,No,No,Select,,,,,,,,,,1/06/2020,30/06/2020,1601009175
DoH_PD,33 Charlotte Street,BSQ Website Redesign,2/06/2020,103009.50,Folk Pty Ltd,5 Albion Street Annandale NSW 2038,No,No,Select,,,,,,,,,,2/06/2020,30/09/2020,87073263457
DoH_PD,33 Charlotte Street,BSQ Mailhouse Print Stock and Operations+Freight,24/09/2019,247500.00,Konica Minolta Marketing,"PO Box, 191 Caringbah NSQ 1495 Australia",No,No,Select,,,,,,,,,,24/09/2019,30/06/2020,59108768083
DoH_PD,33 Charlotte Street,"Quit, Smoke Free & Preg Print Resources ",25/09/2019,13921.03,Konica Minolta Marketing,"PO Box, 191 Caringbah NSQ 1495 Australia",No,No,Select,,,,,,,,,,25/09/2019,30/06/2020,59108768084
