Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"41,737.00",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-33,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,23/12/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"114,451.48",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-28-2,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,23/12/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/10/2022,"117,487.30",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-34,Information and Communication Technology,GGS0060,,1/10/2022,70600569784,30/11/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"21,203.33",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-32,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,23/12/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"28,341.40",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-36,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,31/08/2022
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2022,"147,962.10",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-38,Information and Communication Technology,GGS0060,,1/07/2022,70600569784,23/12/2022
DoH_PD,33 Charlotte Street,Distribution Services for Vaccines,1/07/2022,"976,364.69",Toll Global Logistics Division,L4/390 ST KILDA RD MELBOURNE  VIC  3004,No,No,Open,,,,,,,,4302352491,General Goods and Services,HSQ85987,,1/07/2022,31006604191,30/06/2023
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,1/07/2022,"2,199,845.84",Asp Healthcare Pty Ltd,17 HARRIS ST ST MARYS  NSW  2760,No,No,Open,,,,,,,,PD111156,Medical,SOA234,,1/07/2022,45108259329,30/06/2023
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,1/07/2022,"299,942.44",Clifford Hallam Healthcare P/L,U 2 & 3 14 LUKE ST  LYTTON  QLD  4178,No,No,,,,,,,,,PD111703/PD111704,Medical,SOA234,,1/07/2022,45108259329,30/06/2023
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,1/07/2022,"460,438.20",Terumo Australia Pty Ltd,L 4  BLDG A  5 TALAVERA RD MACQUARIE PARK  NSW  2113,No,No,Open,,,,,,,,PD111702,Medical,SOA234,,1/07/2022,34158693595,30/06/2023
